src_ip,dst_ip,src_port,dst_port,outbound_byte_ratio,duration,packets_per_second,total_packets,total_bytes,packet_size_avg,packet_size_std,proto_TCP,proto_UDP,proto_ICMP,proto_other,window_id
59.166.0.1,149.171.126.8,4077,12319,0.859402,0.045928931888399804,5.70001652569706,2.70805020110221,7.7306140660637395,5.097249769553114,5.510799013220489,1,0,0,0,0
59.166.0.9,149.171.126.1,15582,13723,0.935819,0.04783732941416013,7.999877162800615,4.990432586778736,11.097909896050213,6.116496739576583,6.302605138652836,1,0,0,0,0
59.166.0.5,149.171.126.1,23484,21307,0.915054,0.02273948696948943,8.315800496308391,4.553876891600541,10.42225158360364,5.881720917402696,6.2082518703368645,1,0,0,0,0
59.166.0.4,149.171.126.2,44229,62964,0.856115,0.003992021269537453,8.160803920954665,2.70805020110221,7.707512194600341,5.074280560150267,5.510799013220489,1,0,0,0,0
59.166.0.0,149.171.126.5,24717,64553,0.909777,0.050693114315518116,7.456898841792693,4.51085950651685,10.32485881766135,5.8279647455359695,6.186902465441298,1,0,0,0,0
59.166.0.2,149.171.126.5,62794,21,0.575601,1.1378330018213911,3.749726027767828,4.48863636973214,8.633374945705647,4.171410813872791,0.0,1,0,0,0,0
59.166.0.2,149.171.126.9,42406,21,0.575601,1.0999447339018884,3.804708938386341,4.48863636973214,8.633374945705647,4.171410813872791,0.0,1,0,0,0,0
59.166.0.3,149.171.126.1,40100,10811,0.918615,0.019802627296179712,8.575650760987806,4.672828834461906,10.57385217019883,5.9130949683483225,6.219498494916299,1,0,0,0,0
59.166.0.3,149.171.126.0,26165,21,0.583417,0.16296882827813966,5.606487276338909,3.8918202981106265,8.007700012884026,4.152023673808778,0.0,1,0,0,0,0
59.166.0.8,149.171.126.4,56916,21,0.588423,0.006975613736425242,8.650899568680055,3.713572066704308,7.826443135456014,4.153006474870687,0.0,1,0,0,0,0
59.166.0.7,149.171.126.5,57624,17087,0.954152,0.7207623475929187,2.9926973728983506,3.044522437723423,9.13227071655426,6.138590611998276,6.315720270433907,1,0,0,0,0
59.166.0.4,149.171.126.5,40014,80,0.983025,1.8050046959780757,5.380550283192637,7.002155954403621,13.916872389530367,6.916617531954594,6.340440857721359,1,0,0,0,0
59.166.0.6,149.171.126.6,59415,53,0.549383,0.0009995003330835331,8.294299608857235,1.6094379124341003,5.783825182329737,4.406719247264253,0.0,0,1,0,0,0
59.166.0.7,149.171.126.6,1985,21,0.577641,1.410499049816708,3.239930844064737,4.343805421853684,8.492080490601163,4.176611517498845,0.0,1,0,0,0,0
59.166.0.8,149.171.126.5,58471,53,0.549383,0.0009995003330835331,8.294299608857235,1.6094379124341003,5.783825182329737,4.406719247264253,0.0,0,1,0,0,0
59.166.0.5,149.171.126.1,2094,80,0.441113,0.003992021269537453,8.412054873292933,2.9444389791664403,7.533158807455563,4.651841707418129,4.6495634694577515,1,0,0,0,0
59.166.0.3,149.171.126.0,16204,53,0.549383,0.0009995003330835331,8.294299608857235,1.6094379124341003,5.783825182329737,4.406719247264253,0.0,0,1,0,0,0
59.166.0.2,149.171.126.5,32591,21,0.580273,0.4363175715909291,4.830826114637665,4.23410650459726,8.373322820996535,4.169170068553259,0.0,1,0,0,0,0
59.166.0.3,149.171.126.4,59490,53,0.554795,0.0009995003330835331,8.294299608857235,1.6094379124341003,5.680172609017068,4.304065093204169,0.0,0,1,0,0,0
59.166.0.0,149.171.126.6,10044,7878,0.888879,0.04210117601863539,7.503815119924307,4.3694478524670215,9.99611231164195,5.642906751941574,6.091897976084839,1,0,0,0,0
59.166.0.0,149.171.126.3,38137,143,0.656201,0.032467190137501496,8.924809519324311,5.517452896464707,10.03192474171143,4.529298869286558,4.896933538673917,1,0,0,0,0
59.166.0.4,149.171.126.7,48718,21,0.57545,0.11600367575630613,6.574304488790984,4.48863636973214,8.633018756921828,4.171060063956638,0.0,1,0,0,0,0
59.166.0.1,149.171.126.9,56415,25,0.082835,0.02664193094642118,8.155500387908306,4.553876891600541,10.616559901903344,6.075541657929517,6.259879291602824,1,0,0,0,0
59.166.0.3,149.171.126.3,18068,37532,0.905534,0.09712671073072274,6.738315105781624,4.465908118654584,10.240352569152035,5.789035198900014,6.161369918180193,1,0,0,0,0
59.166.0.0,149.171.126.5,13562,21,0.577641,0.43502391034970883,4.944848285477985,4.343805421853684,8.492080490601163,4.176611517498845,0.0,1,0,0,0,0
59.166.0.4,149.171.126.3,37056,21,0.575752,1.1049256507247018,3.797418428117,4.48863636973214,8.633731007664188,4.171761440806576,0.0,1,0,0,0,0
59.166.0.2,149.171.126.9,2181,52634,0.916924,0.01882175424058776,8.548477637276072,4.59511985013459,10.480297526724614,5.89805052870284,6.226339371169345,1,0,0,0,0
59.166.0.7,149.171.126.7,52983,31502,0.930494,0.023716526617316044,8.597420497496593,4.875197323201151,10.910697017730893,6.045515574826091,6.2919601001603,1,0,0,0,0
59.166.0.6,149.171.126.2,4306,5190,0.543377,0.30968815271439554,4.932609224418518,3.9318256327243257,8.461046030793236,4.559335649644292,4.518024632724501,1,0,0,0,0
59.166.0.4,149.171.126.6,42463,143,0.655586,0.07138999608667294,8.11741727442634,5.517452896464707,10.02937102422638,4.526772625151425,4.896933538673917,1,0,0,0,0
59.166.0.7,149.171.126.1,53835,29973,0.913489,0.08342160813907239,6.986067046365593,4.553876891600541,10.403990075979044,5.863510279085863,6.205939036453368,1,0,0,0,0
59.166.0.9,149.171.126.6,60458,21,0.579081,0.5486992761940722,4.351662615957547,4.04305126783455,8.17413934342947,4.164170424453688,0.0,1,0,0,0,0
59.166.0.8,149.171.126.8,45958,80,0.857914,0.8042412280655322,3.292532560944521,3.4965075614664802,9.3803362790795,5.917212333782771,6.128884723601532,1,0,0,0,0
59.166.0.7,149.171.126.4,1199,143,0.655856,0.6497176226326093,5.605942685085182,5.517452896464707,10.029899914890565,4.527295829906812,4.896933538673917,1,0,0,0,0
59.166.0.0,149.171.126.5,26608,21,0.588423,0.4599532933922341,4.241228200952105,3.713572066704308,7.826443135456014,4.153006474870687,0.0,1,0,0,0,0
59.166.0.5,149.171.126.3,9487,80,0.865509,0.7966058889281753,3.243784687245633,3.4339872044851463,9.371523409567573,5.972791281842361,6.147944128651455,1,0,0,0,0
59.166.0.0,149.171.126.9,41144,11703,0.905475,0.053540766928029816,7.4008426883166,4.51085950651685,10.28407919836827,5.787306294682776,6.152570370892009,1,0,0,0,0
59.166.0.6,149.171.126.1,7601,80,0.857914,0.6986321107905149,3.4859009031563475,3.4965075614664802,9.3803362790795,5.917212333782771,6.128884723601532,1,0,0,0,0
59.166.0.4,149.171.126.5,14488,53,0.549383,0.0009995003330835331,8.294299608857235,1.6094379124341003,5.783825182329737,4.406719247264253,0.0,0,1,0,0,0
59.166.0.7,149.171.126.0,33084,21,0.583139,0.5687171021817683,4.15360645201932,3.8918202981106265,8.007034012193408,4.151367930832742,0.0,1,0,0,0,0
59.166.0.3,149.171.126.8,25958,65262,0.925207,0.12927233570413918,6.785653146817442,4.812184355372417,10.785621527758789,5.984101440851026,6.245149468271481,1,0,0,0,0
59.166.0.9,149.171.126.1,50765,53,0.549383,0.0009995003330835331,8.294299608857235,1.6094379124341003,5.783825182329737,4.406719247264253,0.0,0,1,0,0,0
59.166.0.7,149.171.126.0,11752,3827,0.919004,0.0344014267173324,7.917119925901603,4.574710978503383,10.475455311244357,5.913784498447884,6.205598949638194,1,0,0,0,0
59.166.0.8,149.171.126.6,47275,21,0.578843,0.6103089022509408,4.213421515960869,4.04305126783455,8.173575486634153,4.163615166248911,0.0,1,0,0,0,0
59.166.0.1,149.171.126.5,61715,60070,0.857143,0.001998002662673056,8.853808274977197,2.70805020110221,7.714677473800927,5.081404364984463,5.510799013220489,1,0,0,0,0
59.166.0.3,149.171.126.9,64521,10198,0.034602,0.20130685670503531,4.507404081868976,3.044522437723423,9.13227071655426,6.138590611998276,6.315720270433907,1,0,0,0,0
59.166.0.6,149.171.126.2,24825,21,0.60057,0.48550781578170077,3.8242840911201395,3.367295829986474,7.470793774195062,4.153848100957706,0.0,1,0,0,0,0
59.166.0.6,149.171.126.2,47314,21,0.609261,0.054488185284069734,5.880931948704097,3.044522437723423,7.116394144093465,4.13596623691292,0.0,1,0,0,0,0
59.166.0.8,149.171.126.1,62255,111,0.36036,0.004987541511039074,7.3783837129967145,2.1972245773362196,6.790097235513905,4.718498871295094,4.174387269895637,0,1,0,0,0
59.166.0.5,149.171.126.8,42140,53,0.549383,0.0009995003330835331,8.294299608857235,1.6094379124341003,5.783825182329737,4.406719247264253,0.0,0,1,0,0,0
59.166.0.6,149.171.126.3,19159,17414,0.878778,0.05164323315183845,7.242244418422447,4.31748811353631,9.865526046249009,5.565245006806034,6.043027974131427,1,0,0,0,0
59.166.0.9,149.171.126.4,27820,21,0.577641,0.9090646867824155,3.9566531190500074,4.343805421853684,8.492080490601163,4.176611517498845,0.0,1,0,0,0,0
59.166.0.1,149.171.126.6,49579,21,0.577468,0.0168571170664229,8.40549893434342,4.343805421853684,8.491670234185152,4.1762074738573105,0.0,1,0,0,0,0
59.166.0.0,149.171.126.2,42700,53,0.549383,0.0009995003330835331,8.294299608857235,1.6094379124341003,5.783825182329737,4.406719247264253,0.0,0,1,0,0,0
59.166.0.3,149.171.126.8,47871,60643,0.919659,0.020782539182528505,8.56390409790304,4.709530201312334,10.623787731088578,5.925955859511085,6.222660845843774,1,0,0,0,0
59.166.0.5,149.171.126.4,56516,80,0.857914,0.7533011033796925,3.3833643474434636,3.4965075614664802,9.3803362790795,5.917212333782771,6.128884723601532,1,0,0,0,0
59.166.0.7,149.171.126.4,54441,61350,0.364608,0.027615167032973367,7.159847182950479,3.6109179126442243,8.81537000096066,5.237032804206248,5.598901181190112,1,0,0,0,0
59.166.0.8,149.171.126.9,25925,22532,0.935013,0.0639133257436528,7.631240599283387,4.919980925828125,11.035099319467346,6.1246190299609395,6.3238567843396964,1,0,0,0,0
59.166.0.8,149.171.126.7,37710,21,0.579318,0.19556678354397528,5.561678284191711,4.04305126783455,8.174702882469461,4.1647253589839,0.0,1,0,0,0,0
59.166.0.6,149.171.126.7,49073,22,0.659735,1.7423941396827258,4.976171439530345,6.520621127558696,11.229328370954718,4.71913077874238,5.06851100543165,1,0,0,0,0
59.166.0.6,149.171.126.7,14060,21,0.642466,0.001998002662673056,8.699681400989514,2.5649493574615367,6.594413459749778,4.124442587988544,0.0,1,0,0,0,0
59.166.0.6,149.171.126.6,32511,21,0.577641,0.39001300354924273,5.077228827249479,4.343805421853684,8.492080490601163,4.176611517498845,0.0,1,0,0,0,0
59.166.0.9,149.171.126.9,15063,6881,0.516332,0.3393253056036194,4.444513239570469,3.5553480614894135,8.066207568006263,4.5501548048006795,4.6453588632052725,1,0,0,0,0
59.166.0.3,149.171.126.0,10093,53,0.549383,0.0009995003330835331,8.294299608857235,1.6094379124341003,5.783825182329737,4.406719247264253,0.0,0,1,0,0,0
59.166.0.0,149.171.126.9,22295,20349,0.91219,0.019802627296179712,8.45553053102413,4.553876891600541,10.389087671750044,5.848650076881605,6.200068776879254,1,0,0,0,0
59.166.0.8,149.171.126.9,1232,51157,0.034602,0.23665190133900202,4.32950056757631,3.044522437723423,9.13227071655426,6.138590611998276,6.315720270433907,1,0,0,0,0
59.166.0.2,149.171.126.6,14222,21,0.642466,0.001998002662673056,8.699681400989514,2.5649493574615367,6.594413459749778,4.124442587988544,0.0,1,0,0,0,0
59.166.0.8,149.171.126.1,4549,21,0.60057,0.003992021269537453,8.853808274977197,3.367295829986474,7.470793774195062,4.153848100957706,0.0,1,0,0,0,0
59.166.0.5,149.171.126.2,32058,53,0.549383,0.0009995003330835331,8.294299608857235,1.6094379124341003,5.783825182329737,4.406719247264253,0.0,0,1,0,0,0
59.166.0.6,149.171.126.5,28615,49652,0.954152,0.20130685670503531,4.507404081868976,3.044522437723423,9.13227071655426,6.138590611998276,6.315720270433907,1,0,0,0,0
59.166.0.3,149.171.126.9,63666,6274,0.954152,0.003992021269537453,8.517393171418904,3.044522437723423,9.13227071655426,6.138590611998276,6.315720270433907,1,0,0,0,0
59.166.0.9,149.171.126.5,20554,21,0.642466,0.2844267797311083,3.6236517355343594,2.5649493574615367,6.594413459749778,4.124442587988544,0.0,1,0,0,0,0
59.166.0.2,149.171.126.5,18370,34474,0.915429,0.027615167032973367,8.27628564777176,4.709530201312334,10.572470106096775,5.874777502821081,6.206235766054265,1,0,0,0,0
