window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,26,3.422851357161831,22,3.414518113076545
1,23,3.4175775695663986,22,3.410617921595063
2,97,3.6919565171204765,32,3.606938527612181
3,23,3.409928297836119,21,3.4027046421570835
4,26,3.4268886599269814,21,3.4186409050495685
5,95,3.9712712691937697,29,3.7643832188169277
6,24,3.418691563288177,20,3.4103913172652462
7,23,3.4209001651537583,20,3.4115633815289947
8,58,3.4811461330863427,32,3.464371882996175
9,95,3.8837486015405664,31,3.719635051526785
10,23,3.4247720389727068,21,3.415998016920871
11,93,3.9995605379736583,32,3.7898154325540627
12,26,3.4221715608113126,22,3.414716552384788
13,23,3.4266426057950983,23,3.4202271119953407
14,28,3.440634896014637,24,3.4302994618090095
