window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,25,3.4388668417773913,24,3.4323690898140575
1,27,3.4234035023445126,21,3.4132358764611896
2,25,3.42590143400007,23,3.419649549678275
3,25,3.430981842350717,21,3.4218333693011447
4,27,3.428177459312356,23,3.421278908712506
5,23,3.425253834243827,21,3.416998664619117
6,25,3.4276729456149244,24,3.421470978755363
7,22,3.4067763502235406,19,3.4034088140498713
8,24,3.411018667262759,19,3.4029853290190246
9,29,3.4384873599637586,23,3.4288205289149825
10,25,3.4340704512766655,25,3.4265872797287
11,24,3.438233198988604,23,3.4306458818181658
12,27,3.437243377662179,23,3.4319194253069742
13,27,3.421160302083536,21,3.4133545619462473
14,27,3.4274539193465987,25,3.419974330795518
