window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,11,3.3141392420942872,11,3.336422196443063
1,13,3.4690720070790184,12,3.3451178472841336
2,12,3.3652536887529654,12,3.3809440287477748
3,11,3.2687798714929093,11,3.253744207608213
4,12,3.3696135386437938,12,3.2807468624915077
5,10,3.2025434604049425,10,3.164570166061358
6,10,3.2471956696470854,10,3.2016413215681894
7,11,3.276450135533463,11,3.2419575775936846
8,10,3.261130283867449,10,3.253861445663827
9,11,3.304214665851051,11,3.2000049604180574
10,10,3.294394787732397,10,3.215379526160572
11,12,3.2725048503599417,12,3.3673592264411116
12,11,3.3016870259123223,11,3.3612020755854832
13,10,3.2477649165384976,10,3.2931267883394755
14,11,3.294210532048793,11,3.303368543827903
