window_id,src_ip,count,freq
0,10.40.85.1,1,0.0012004801920768306
0,10.40.85.10,1,0.0012004801920768306
0,149.171.126.12,1,0.0012004801920768306
0,149.171.126.15,1,0.0012004801920768306
0,149.171.126.18,7,0.008403361344537815
0,149.171.126.9,1,0.0012004801920768306
0,59.166.0.0,86,0.10324129651860744
0,59.166.0.1,91,0.1092436974789916
0,59.166.0.2,82,0.09843937575030012
0,59.166.0.3,91,0.1092436974789916
0,59.166.0.4,73,0.08763505402160865
0,59.166.0.5,80,0.09603841536614646
0,59.166.0.6,69,0.08283313325330131
0,59.166.0.7,96,0.11524609843937575
0,59.166.0.8,69,0.08283313325330131
0,59.166.0.9,84,0.10084033613445378
1,10.40.182.1,1,0.0012004801920768306
1,10.40.85.10,1,0.0012004801920768306
1,149.171.126.10,4,0.004801920768307323
1,149.171.126.14,2,0.0024009603841536613
1,149.171.126.15,2,0.0024009603841536613
1,149.171.126.18,4,0.004801920768307323
1,59.166.0.0,84,0.10084033613445378
1,59.166.0.1,90,0.10804321728691477
1,59.166.0.2,85,0.10204081632653061
1,59.166.0.3,73,0.08763505402160865
1,59.166.0.4,79,0.09483793517406963
1,59.166.0.5,92,0.11044417767106843
1,59.166.0.6,83,0.09963985594237695
1,59.166.0.7,75,0.09003601440576231
1,59.166.0.8,78,0.0936374549819928
1,59.166.0.9,80,0.09603841536614646
2,10.40.182.1,1,0.0012004801920768306
2,10.40.85.10,1,0.0012004801920768306
2,149.171.126.10,1,0.0012004801920768306
2,149.171.126.12,1,0.0012004801920768306
2,149.171.126.14,2,0.0024009603841536613
2,149.171.126.18,6,0.007202881152460984
2,149.171.126.8,1,0.0012004801920768306
2,59.166.0.0,107,0.12845138055222088
2,59.166.0.1,74,0.08883553421368548
2,59.166.0.2,88,0.1056422569027611
2,59.166.0.3,90,0.10804321728691477
2,59.166.0.4,75,0.09003601440576231
2,59.166.0.5,81,0.09723889555822329
2,59.166.0.6,66,0.07923169267707082
2,59.166.0.7,70,0.08403361344537816
2,59.166.0.8,72,0.08643457382953182
2,59.166.0.9,97,0.11644657863145258
3,149.171.126.10,1,0.0012004801920768306
3,149.171.126.14,1,0.0012004801920768306
3,149.171.126.15,2,0.0024009603841536613
3,149.171.126.18,5,0.006002400960384154
3,149.171.126.2,1,0.0012004801920768306
3,59.166.0.0,87,0.10444177671068428
3,59.166.0.1,87,0.10444177671068428
3,59.166.0.2,80,0.09603841536614646
3,59.166.0.3,79,0.09483793517406963
3,59.166.0.4,66,0.07923169267707082
3,59.166.0.5,106,0.12725090036014405
3,59.166.0.6,74,0.08883553421368548
3,59.166.0.7,88,0.1056422569027611
3,59.166.0.8,88,0.1056422569027611
3,59.166.0.9,68,0.08163265306122448
4,149.171.126.1,1,0.0012004801920768306
4,149.171.126.12,3,0.003601440576230492
4,149.171.126.15,3,0.003601440576230492
4,149.171.126.18,5,0.006002400960384154
4,149.171.126.9,1,0.0012004801920768306
4,59.166.0.0,90,0.10804321728691477
4,59.166.0.1,79,0.09483793517406963
4,59.166.0.2,81,0.09723889555822329
4,59.166.0.3,87,0.10444177671068428
4,59.166.0.4,71,0.08523409363745499
4,59.166.0.5,82,0.09843937575030012
4,59.166.0.6,93,0.11164465786314526
4,59.166.0.7,73,0.08763505402160865
4,59.166.0.8,60,0.07202881152460984
4,59.166.0.9,104,0.12484993997599039
5,10.40.85.1,1,0.0012004801920768306
5,149.171.126.10,2,0.0024009603841536613
5,149.171.126.12,1,0.0012004801920768306
5,149.171.126.14,1,0.0012004801920768306
5,149.171.126.15,2,0.0024009603841536613
5,149.171.126.18,5,0.006002400960384154
5,59.166.0.0,61,0.07322929171668667
5,59.166.0.1,80,0.09603841536614646
5,59.166.0.2,95,0.11404561824729892
5,59.166.0.3,81,0.09723889555822329
5,59.166.0.4,99,0.11884753901560624
5,59.166.0.5,80,0.09603841536614646
5,59.166.0.6,78,0.0936374549819928
5,59.166.0.7,83,0.09963985594237695
5,59.166.0.8,74,0.08883553421368548
5,59.166.0.9,90,0.10804321728691477
6,149.171.126.14,2,0.0024009603841536613
6,149.171.126.15,1,0.0012004801920768306
6,149.171.126.18,2,0.0024009603841536613
6,149.171.126.2,1,0.0012004801920768306
6,59.166.0.0,81,0.09723889555822329
6,59.166.0.1,91,0.1092436974789916
6,59.166.0.2,84,0.10084033613445378
6,59.166.0.3,80,0.09603841536614646
6,59.166.0.4,81,0.09723889555822329
6,59.166.0.5,79,0.09483793517406963
6,59.166.0.6,88,0.1056422569027611
6,59.166.0.7,76,0.09123649459783914
6,59.166.0.8,78,0.0936374549819928
6,59.166.0.9,89,0.10684273709483794
7,10.40.85.1,1,0.0012004801920768306
7,149.171.126.0,1,0.0012004801920768306
7,149.171.126.12,2,0.0024009603841536613
7,149.171.126.14,2,0.0024009603841536613
7,149.171.126.15,1,0.0012004801920768306
7,149.171.126.18,6,0.007202881152460984
7,59.166.0.0,73,0.08763505402160865
7,59.166.0.1,82,0.09843937575030012
7,59.166.0.2,96,0.11524609843937575
7,59.166.0.3,96,0.11524609843937575
7,59.166.0.4,81,0.09723889555822329
7,59.166.0.5,73,0.08763505402160865
7,59.166.0.6,89,0.10684273709483794
7,59.166.0.7,74,0.08883553421368548
7,59.166.0.8,68,0.08163265306122448
7,59.166.0.9,88,0.1056422569027611
8,149.171.126.10,1,0.0012004801920768306
8,149.171.126.12,2,0.0024009603841536613
8,149.171.126.14,1,0.0012004801920768306
8,149.171.126.15,3,0.003601440576230492
8,149.171.126.18,4,0.004801920768307323
8,149.171.126.6,1,0.0012004801920768306
8,59.166.0.0,81,0.09723889555822329
8,59.166.0.1,89,0.10684273709483794
8,59.166.0.2,91,0.1092436974789916
8,59.166.0.3,81,0.09723889555822329
8,59.166.0.4,86,0.10324129651860744
8,59.166.0.5,81,0.09723889555822329
8,59.166.0.6,71,0.08523409363745499
8,59.166.0.7,79,0.09483793517406963
8,59.166.0.8,69,0.08283313325330131
8,59.166.0.9,93,0.11164465786314526
9,149.171.126.10,4,0.004801920768307323
9,149.171.126.12,4,0.004801920768307323
9,149.171.126.18,2,0.0024009603841536613
9,149.171.126.4,1,0.0012004801920768306
9,59.166.0.0,94,0.11284513805522209
9,59.166.0.1,96,0.11524609843937575
9,59.166.0.2,75,0.09003601440576231
9,59.166.0.3,82,0.09843937575030012
9,59.166.0.4,78,0.0936374549819928
9,59.166.0.5,75,0.09003601440576231
9,59.166.0.6,81,0.09723889555822329
9,59.166.0.7,80,0.09603841536614646
9,59.166.0.8,81,0.09723889555822329
9,59.166.0.9,80,0.09603841536614646
10,10.40.85.1,1,0.0012004801920768306
10,149.171.126.10,2,0.0024009603841536613
10,149.171.126.12,5,0.006002400960384154
10,149.171.126.14,1,0.0012004801920768306
10,149.171.126.15,2,0.0024009603841536613
10,149.171.126.18,5,0.006002400960384154
10,149.171.126.5,1,0.0012004801920768306
10,59.166.0.0,77,0.09243697478991597
10,59.166.0.1,97,0.11644657863145258
10,59.166.0.2,62,0.0744297719087635
10,59.166.0.3,89,0.10684273709483794
10,59.166.0.4,72,0.08643457382953182
10,59.166.0.5,92,0.11044417767106843
10,59.166.0.6,86,0.10324129651860744
10,59.166.0.7,76,0.09123649459783914
10,59.166.0.8,78,0.0936374549819928
10,59.166.0.9,87,0.10444177671068428
11,149.171.126.10,2,0.0024009603841536613
11,149.171.126.12,1,0.0012004801920768306
11,149.171.126.14,3,0.003601440576230492
11,149.171.126.15,1,0.0012004801920768306
11,149.171.126.18,1,0.0012004801920768306
11,59.166.0.0,75,0.09003601440576231
11,59.166.0.1,89,0.10684273709483794
11,59.166.0.2,81,0.09723889555822329
11,59.166.0.3,82,0.09843937575030012
11,59.166.0.4,83,0.09963985594237695
11,59.166.0.5,87,0.10444177671068428
11,59.166.0.6,85,0.10204081632653061
11,59.166.0.7,68,0.08163265306122448
11,59.166.0.8,88,0.1056422569027611
11,59.166.0.9,87,0.10444177671068428
12,10.40.85.1,2,0.0024009603841536613
12,149.171.126.10,1,0.0012004801920768306
12,149.171.126.12,2,0.0024009603841536613
12,149.171.126.15,2,0.0024009603841536613
12,149.171.126.18,5,0.006002400960384154
12,59.166.0.0,100,0.12004801920768307
12,59.166.0.1,91,0.1092436974789916
12,59.166.0.2,97,0.11644657863145258
12,59.166.0.3,52,0.062424969987995196
12,59.166.0.4,84,0.10084033613445378
12,59.166.0.5,82,0.09843937575030012
12,59.166.0.6,79,0.09483793517406963
12,59.166.0.7,82,0.09843937575030012
12,59.166.0.8,84,0.10084033613445378
12,59.166.0.9,70,0.08403361344537816
13,10.40.182.1,1,0.0012004801920768306
13,149.171.126.10,1,0.0012004801920768306
13,149.171.126.12,2,0.0024009603841536613
13,149.171.126.14,1,0.0012004801920768306
13,149.171.126.15,1,0.0012004801920768306
13,149.171.126.18,1,0.0012004801920768306
13,59.166.0.0,86,0.10324129651860744
13,59.166.0.1,71,0.08523409363745499
13,59.166.0.2,110,0.13205282112845138
13,59.166.0.3,70,0.08403361344537816
13,59.166.0.4,76,0.09123649459783914
13,59.166.0.5,87,0.10444177671068428
13,59.166.0.6,78,0.0936374549819928
13,59.166.0.7,84,0.10084033613445378
13,59.166.0.8,91,0.1092436974789916
13,59.166.0.9,73,0.08763505402160865
14,149.171.126.10,2,0.002386634844868735
14,149.171.126.14,1,0.0011933174224343676
14,149.171.126.15,2,0.002386634844868735
14,149.171.126.18,3,0.003579952267303103
14,149.171.126.5,1,0.0011933174224343676
14,149.171.126.6,1,0.0011933174224343676
14,149.171.126.7,1,0.0011933174224343676
14,59.166.0.0,82,0.09785202863961814
14,59.166.0.1,83,0.09904534606205251
14,59.166.0.2,91,0.10859188544152745
14,59.166.0.3,73,0.08711217183770883
14,59.166.0.4,84,0.10023866348448687
14,59.166.0.5,72,0.08591885441527446
14,59.166.0.6,90,0.10739856801909307
14,59.166.0.7,84,0.10023866348448687
14,59.166.0.8,85,0.10143198090692124
14,59.166.0.9,83,0.09904534606205251
