window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,22,3.4287181863191174,22,3.423722204195307
1,22,3.4082639309676983,21,3.4053433191214135
2,20,3.410951384349435,18,3.404400228454754
3,19,3.3968216274803096,17,3.393346169353126
4,33,3.5922337413217376,20,3.520098501916026
5,30,3.982881782609245,21,3.6294527168824136
6,22,3.418544183822847,17,3.4118763709078905
7,22,3.4321335818317547,20,3.424895183362168
8,22,3.422922739700105,22,3.4168601619962273
9,23,3.443781905284653,20,3.4305788960881114
10,21,3.4140220920136946,21,3.4084693172710967
11,18,3.4171203332362827,16,3.4083593402573973
12,28,4.189391759383108,17,3.5509395445036396
13,20,3.4123610490027945,18,3.406199569991859
14,26,3.4276512389201472,20,3.4169381724177486
