dataset,split,kind,window_id,predicted_malicious_ips,predicted_malicious_ip_count,true_malicious_ips,true_malicious_ip_count
attack_test_01,test,attack,0,,0,,0
attack_test_01,test,attack,1,,0,,0
attack_test_01,test,attack,2,18.219.32.43;18.218.115.60;18.218.229.235;18.218.11.51;18.219.5.43;18.219.9.1;18.216.200.189;52.14.136.135;18.218.55.126;18.216.24.42,10,18.219.32.43;18.218.115.60;18.218.229.235;18.218.11.51;18.219.5.43;18.219.9.1;18.216.200.189;52.14.136.135;18.218.55.126;18.216.24.42,10
attack_test_01,test,attack,3,,0,,0
attack_test_01,test,attack,4,,0,,0
attack_test_01,test,attack,5,,0,,0
attack_test_01,test,attack,6,,0,,0
attack_test_01,test,attack,7,,0,,0
attack_test_01,test,attack,8,18.218.55.126;18.219.32.43;18.216.24.42;18.219.5.43;18.216.200.189;18.218.229.235;18.218.115.60;18.219.9.1;52.14.136.135;18.218.11.51,10,18.218.55.126;18.219.32.43;18.216.24.42;18.219.5.43;18.216.200.189;18.218.229.235;18.218.115.60;18.219.9.1;52.14.136.135;18.218.11.51,10
attack_test_01,test,attack,9,,0,,0
attack_test_01,test,attack,10,,0,,0
attack_test_01,test,attack,11,18.219.9.1;18.216.24.42;18.218.11.51;18.216.200.189;52.14.136.135;18.219.5.43;18.218.55.126;18.219.32.43;18.218.229.235,9,18.219.9.1;18.216.24.42;18.218.11.51;18.216.200.189;52.14.136.135;18.219.5.43;18.218.55.126;18.218.115.60;18.219.32.43;18.218.229.235,10
attack_test_01,test,attack,12,,0,,0
attack_test_01,test,attack,13,,0,,0
attack_test_01,test,attack,14,,0,,0
attack_test_02,test,attack,0,,0,,0
attack_test_02,test,attack,1,,0,,0
attack_test_02,test,attack,2,18.219.5.43;18.216.24.42;18.218.11.51;18.218.229.235;18.219.32.43;18.218.55.126;18.219.9.1;52.14.136.135,8,18.219.5.43;18.216.24.42;18.218.11.51;18.218.229.235;18.219.32.43;18.218.55.126;18.216.200.189;18.219.9.1;52.14.136.135;18.218.115.60,10
attack_test_02,test,attack,3,18.219.9.1;18.218.55.126;18.219.32.43;18.218.229.235;18.218.11.51;18.218.115.60;52.14.136.135;18.216.200.189;18.216.24.42;18.219.5.43,10,18.219.9.1;18.218.55.126;18.219.32.43;18.218.229.235;18.218.11.51;18.218.115.60;52.14.136.135;18.216.200.189;18.216.24.42;18.219.5.43,10
attack_test_02,test,attack,4,,0,,0
attack_test_02,test,attack,5,,0,,0
attack_test_02,test,attack,6,,0,,0
attack_test_02,test,attack,7,,0,,0
attack_test_02,test,attack,8,,0,,0
attack_test_02,test,attack,9,18.218.229.235;18.219.32.43;18.216.200.189;18.216.24.42;18.219.9.1;18.218.55.126;18.218.11.51;52.14.136.135;18.219.5.43;18.218.115.60,10,18.218.229.235;18.219.32.43;18.216.200.189;18.216.24.42;18.219.9.1;18.218.55.126;18.218.11.51;52.14.136.135;18.219.5.43;18.218.115.60,10
attack_test_02,test,attack,10,18.216.24.42;18.219.5.43;18.218.229.235;18.216.200.189;18.219.9.1;18.218.55.126;18.219.32.43;52.14.136.135;18.218.115.60;18.218.11.51,10,18.216.24.42;18.219.5.43;18.218.229.235;18.216.200.189;18.219.9.1;18.218.55.126;18.219.32.43;52.14.136.135;18.218.115.60;18.218.11.51,10
attack_test_02,test,attack,11,,0,,0
attack_test_02,test,attack,12,,0,,0
attack_test_02,test,attack,13,,0,,0
attack_test_02,test,attack,14,18.218.229.235;52.14.136.135;18.219.5.43;18.219.32.43;18.218.55.126;18.219.9.1;18.216.24.42;18.216.200.189;18.218.11.51;18.218.115.60,10,18.218.229.235;52.14.136.135;18.219.5.43;18.219.32.43;18.218.55.126;18.219.9.1;18.216.24.42;18.216.200.189;18.218.11.51;18.218.115.60,10
attack_train_01,train,attack,0,,0,,0
attack_train_01,train,attack,1,,0,,0
attack_train_01,train,attack,2,18.218.115.60;18.216.24.42;18.218.229.235;18.216.200.189;18.219.9.1;18.218.11.51;18.218.55.126;52.14.136.135;18.219.32.43;18.219.5.43,10,18.218.115.60;18.216.24.42;18.218.229.235;18.216.200.189;18.219.9.1;18.218.11.51;18.218.55.126;52.14.136.135;18.219.32.43;18.219.5.43,10
attack_train_01,train,attack,3,,0,,0
attack_train_01,train,attack,4,,0,,0
attack_train_01,train,attack,5,,0,,0
attack_train_01,train,attack,6,18.218.229.235;52.14.136.135;18.219.32.43;18.219.9.1;18.218.11.51;18.218.115.60;18.216.200.189;18.219.5.43;18.218.55.126;18.216.24.42,10,18.218.229.235;52.14.136.135;18.219.32.43;18.219.9.1;18.218.11.51;18.218.115.60;18.216.200.189;18.219.5.43;18.218.55.126;18.216.24.42,10
attack_train_01,train,attack,7,,0,,0
attack_train_01,train,attack,8,,0,,0
attack_train_01,train,attack,9,,0,,0
attack_train_01,train,attack,10,,0,,0
attack_train_01,train,attack,11,,0,,0
attack_train_01,train,attack,12,18.216.24.42;18.218.115.60;18.218.229.235;18.216.200.189;18.219.5.43;18.219.9.1;18.219.32.43;18.218.55.126;52.14.136.135;18.218.11.51,10,18.216.24.42;18.218.115.60;18.218.229.235;18.216.200.189;18.219.5.43;18.219.9.1;18.219.32.43;18.218.55.126;52.14.136.135;18.218.11.51,10
attack_train_01,train,attack,13,,0,,0
attack_train_01,train,attack,14,,0,,0
attack_train_02,train,attack,0,,0,,0
attack_train_02,train,attack,1,,0,,0
attack_train_02,train,attack,2,,0,,0
attack_train_02,train,attack,3,18.219.5.43;18.219.32.43;18.216.200.189;18.219.9.1;18.218.115.60;52.14.136.135;18.218.229.235;18.218.55.126;18.218.11.51;18.216.24.42,10,18.219.5.43;18.219.32.43;18.216.200.189;18.219.9.1;18.218.115.60;52.14.136.135;18.218.229.235;18.218.55.126;18.218.11.51;18.216.24.42,10
attack_train_02,train,attack,4,18.218.115.60,1,18.218.115.60;18.216.200.189;18.218.229.235;18.219.32.43,4
attack_train_02,train,attack,5,18.219.5.43;18.216.24.42;18.216.200.189;18.218.55.126;18.219.32.43;52.14.136.135;18.218.11.51;18.218.229.235;18.218.115.60;18.219.9.1,10,18.219.5.43;18.216.24.42;18.216.200.189;18.218.55.126;18.219.32.43;52.14.136.135;18.218.11.51;18.218.229.235;18.218.115.60;18.219.9.1,10
attack_train_02,train,attack,6,,0,,0
attack_train_02,train,attack,7,,0,,0
attack_train_02,train,attack,8,,0,,0
attack_train_02,train,attack,9,18.216.24.42;18.219.9.1;52.14.136.135;18.219.32.43;18.218.11.51;18.218.55.126;18.219.5.43;18.216.200.189;18.218.229.235;18.218.115.60,10,18.216.24.42;18.219.9.1;52.14.136.135;18.219.32.43;18.218.11.51;18.218.55.126;18.219.5.43;18.216.200.189;18.218.229.235;18.218.115.60,10
attack_train_02,train,attack,10,,0,,0
attack_train_02,train,attack,11,,0,,0
attack_train_02,train,attack,12,,0,,0
attack_train_02,train,attack,13,,0,,0
attack_train_02,train,attack,14,,0,,0
attack_train_03,train,attack,0,18.216.24.42;18.218.11.51;18.216.200.189;18.219.9.1;18.218.115.60;18.219.5.43;18.218.55.126;18.219.32.43;52.14.136.135;18.218.229.235,10,18.216.24.42;18.218.11.51;18.216.200.189;18.219.9.1;18.218.115.60;18.219.5.43;18.218.55.126;18.219.32.43;52.14.136.135;18.218.229.235,10
attack_train_03,train,attack,1,18.219.32.43;18.218.229.235;18.216.24.42;18.218.55.126;18.218.11.51;18.219.5.43;18.219.9.1;52.14.136.135;18.218.115.60;18.216.200.189,10,18.219.32.43;18.218.229.235;18.216.24.42;18.218.55.126;18.218.11.51;18.219.5.43;18.219.9.1;52.14.136.135;18.218.115.60;18.216.200.189,10
attack_train_03,train,attack,2,,0,,0
attack_train_03,train,attack,3,52.14.136.135;18.216.200.189;18.216.24.42;18.218.11.51;18.218.229.235;18.219.32.43;18.219.9.1;18.218.115.60;18.218.55.126;18.219.5.43,10,52.14.136.135;18.216.200.189;18.216.24.42;18.218.11.51;18.218.229.235;18.219.32.43;18.219.9.1;18.218.115.60;18.218.55.126;18.219.5.43,10
attack_train_03,train,attack,4,,0,,0
attack_train_03,train,attack,5,,0,,0
attack_train_03,train,attack,6,,0,,0
attack_train_03,train,attack,7,,0,,0
attack_train_03,train,attack,8,,0,,0
attack_train_03,train,attack,9,18.216.24.42;18.216.200.189;18.219.32.43;18.218.55.126;52.14.136.135;18.218.11.51;18.219.9.1;18.218.115.60;18.219.5.43;18.218.229.235,10,18.216.24.42;18.216.200.189;18.219.32.43;18.218.55.126;52.14.136.135;18.218.11.51;18.219.9.1;18.218.115.60;18.219.5.43;18.218.229.235,10
attack_train_03,train,attack,10,,0,,0
attack_train_03,train,attack,11,,0,,0
attack_train_03,train,attack,12,,0,,0
attack_train_03,train,attack,13,,0,,0
attack_train_03,train,attack,14,,0,,0
attack_train_04,train,attack,0,,0,,0
attack_train_04,train,attack,1,18.218.229.235;18.218.55.126;18.218.115.60;18.219.32.43;52.14.136.135;18.218.11.51;18.216.200.189;18.216.24.42;18.219.5.43;18.219.9.1,10,18.218.229.235;18.218.55.126;18.218.115.60;18.219.32.43;52.14.136.135;18.218.11.51;18.216.200.189;18.216.24.42;18.219.5.43;18.219.9.1,10
attack_train_04,train,attack,2,18.216.200.189;52.14.136.135;18.219.5.43;18.218.55.126;18.219.9.1;18.218.229.235;18.216.24.42;18.218.11.51;18.219.32.43;18.218.115.60,10,18.216.200.189;52.14.136.135;18.219.5.43;18.218.55.126;18.219.9.1;18.218.229.235;18.216.24.42;18.218.11.51;18.219.32.43;18.218.115.60,10
attack_train_04,train,attack,3,,0,,0
attack_train_04,train,attack,4,,0,,0
attack_train_04,train,attack,5,,0,,0
attack_train_04,train,attack,6,18.216.24.42;18.218.229.235;18.219.32.43;18.219.9.1,4,18.216.24.42;18.218.229.235;18.219.32.43;18.216.200.189;18.218.55.126;18.219.9.1,6
attack_train_04,train,attack,7,18.216.24.42;18.219.9.1;18.218.229.235;18.219.32.43;18.219.5.43;18.218.115.60;18.218.55.126;18.216.200.189;52.14.136.135;18.218.11.51,10,18.216.24.42;18.219.9.1;18.218.229.235;18.219.32.43;18.219.5.43;18.218.115.60;18.218.55.126;18.216.200.189;52.14.136.135;18.218.11.51,10
attack_train_04,train,attack,8,18.218.55.126;18.218.229.235;18.219.9.1;18.216.24.42;18.216.200.189;18.218.11.51;18.218.115.60;18.219.5.43;52.14.136.135;18.219.32.43,10,18.218.55.126;18.218.229.235;18.219.9.1;18.216.24.42;18.216.200.189;18.218.11.51;18.218.115.60;18.219.5.43;52.14.136.135;18.219.32.43,10
attack_train_04,train,attack,9,,0,,0
attack_train_04,train,attack,10,,0,,0
attack_train_04,train,attack,11,,0,,0
attack_train_04,train,attack,12,18.216.24.42;18.219.32.43;18.219.5.43;18.216.200.189;18.218.55.126;52.14.136.135;18.218.229.235;18.219.9.1;18.218.115.60;18.218.11.51,10,18.216.24.42;18.219.32.43;18.219.5.43;18.216.200.189;18.218.55.126;52.14.136.135;18.218.229.235;18.219.9.1;18.218.115.60;18.218.11.51,10
attack_train_04,train,attack,13,,0,,0
attack_train_04,train,attack,14,,0,,0
attack_train_05,train,attack,0,,0,,0
attack_train_05,train,attack,1,,0,,0
attack_train_05,train,attack,2,,0,,0
attack_train_05,train,attack,3,,0,,0
attack_train_05,train,attack,4,,0,,0
attack_train_05,train,attack,5,,0,,0
attack_train_05,train,attack,6,18.218.115.60;18.219.9.1;18.219.32.43;18.216.24.42;18.218.229.235;18.218.11.51;18.219.5.43;18.218.55.126;52.14.136.135;18.216.200.189,10,18.218.115.60;18.219.9.1;18.219.32.43;18.216.24.42;18.218.229.235;18.218.11.51;18.219.5.43;18.218.55.126;52.14.136.135;18.216.200.189,10
attack_train_05,train,attack,7,,0,,0
attack_train_05,train,attack,8,18.218.55.126;18.218.11.51;18.216.24.42;18.218.229.235;52.14.136.135;18.218.115.60;18.219.9.1;18.219.32.43;18.219.5.43;18.216.200.189,10,18.218.55.126;18.218.11.51;18.216.24.42;18.218.229.235;52.14.136.135;18.218.115.60;18.219.9.1;18.219.32.43;18.219.5.43;18.216.200.189,10
attack_train_05,train,attack,9,,0,,0
attack_train_05,train,attack,10,,0,,0
attack_train_05,train,attack,11,,0,,0
attack_train_05,train,attack,12,,0,,0
attack_train_05,train,attack,13,,0,,0
attack_train_05,train,attack,14,,0,,0
attack_train_06,train,attack,0,,0,,0
attack_train_06,train,attack,1,18.216.200.189;18.218.115.60;18.218.55.126;18.219.5.43;52.14.136.135;18.216.24.42;18.219.32.43;18.218.11.51;18.219.9.1;18.218.229.235,10,18.216.200.189;18.218.115.60;18.218.55.126;18.219.5.43;52.14.136.135;18.216.24.42;18.219.32.43;18.218.11.51;18.219.9.1;18.218.229.235,10
attack_train_06,train,attack,2,,0,,0
attack_train_06,train,attack,3,,0,,0
attack_train_06,train,attack,4,,0,,0
attack_train_06,train,attack,5,,0,,0
attack_train_06,train,attack,6,,0,,0
attack_train_06,train,attack,7,,0,,0
attack_train_06,train,attack,8,,0,,0
attack_train_06,train,attack,9,,0,,0
attack_train_06,train,attack,10,,0,,0
attack_train_06,train,attack,11,,0,,0
attack_train_06,train,attack,12,,0,,0
attack_train_06,train,attack,13,18.219.9.1;18.219.32.43;18.218.11.51;18.218.55.126;18.219.5.43;18.216.200.189;18.216.24.42;52.14.136.135;18.218.115.60;18.218.229.235,10,18.219.9.1;18.219.32.43;18.218.11.51;18.218.55.126;18.219.5.43;18.216.200.189;18.216.24.42;52.14.136.135;18.218.115.60;18.218.229.235,10
attack_train_06,train,attack,14,18.218.55.126;18.216.24.42;18.219.32.43;18.219.5.43;18.218.115.60;18.218.229.235;18.219.9.1;52.14.136.135;18.218.11.51;18.216.200.189,10,18.218.55.126;18.216.24.42;18.219.32.43;18.219.5.43;18.218.115.60;18.218.229.235;18.219.9.1;52.14.136.135;18.218.11.51;18.216.200.189,10
attack_train_07,train,attack,0,,0,,0
attack_train_07,train,attack,1,,0,,0
attack_train_07,train,attack,2,,0,,0
attack_train_07,train,attack,3,,0,,0
attack_train_07,train,attack,4,,0,,0
attack_train_07,train,attack,5,,0,,0
attack_train_07,train,attack,6,,0,,0
attack_train_07,train,attack,7,18.218.229.235;18.218.55.126;18.219.5.43;18.219.9.1;18.218.11.51;18.219.32.43;18.216.24.42;18.218.115.60;52.14.136.135;18.216.200.189,10,18.218.229.235;18.218.55.126;18.219.5.43;18.219.9.1;18.218.11.51;18.219.32.43;18.216.24.42;18.218.115.60;52.14.136.135;18.216.200.189,10
attack_train_07,train,attack,8,18.219.9.1;18.218.11.51;18.219.5.43;18.216.200.189;18.219.32.43;18.218.115.60;18.218.229.235;18.218.55.126;52.14.136.135;18.216.24.42,10,18.219.9.1;18.218.11.51;18.219.5.43;18.216.200.189;18.219.32.43;18.218.115.60;18.218.229.235;18.218.55.126;52.14.136.135;18.216.24.42,10
attack_train_07,train,attack,9,,0,,0
attack_train_07,train,attack,10,18.219.5.43,1,18.219.5.43;18.218.229.235,2
attack_train_07,train,attack,11,52.14.136.135;18.218.229.235;18.216.200.189;18.219.5.43;18.218.11.51;18.218.55.126;18.218.115.60;18.219.9.1;18.219.32.43;18.216.24.42,10,52.14.136.135;18.218.229.235;18.216.200.189;18.219.5.43;18.218.11.51;18.218.55.126;18.218.115.60;18.219.9.1;18.219.32.43;18.216.24.42,10
attack_train_07,train,attack,12,18.216.200.189;18.219.9.1;18.218.55.126;18.218.229.235;18.219.32.43;18.219.5.43;52.14.136.135;18.216.24.42;18.218.115.60;18.218.11.51,10,18.216.200.189;18.219.9.1;18.218.55.126;18.218.229.235;18.219.32.43;18.219.5.43;52.14.136.135;18.216.24.42;18.218.115.60;18.218.11.51,10
attack_train_07,train,attack,13,,0,,0
attack_train_07,train,attack,14,,0,,0
attack_train_08,train,attack,0,,0,,0
attack_train_08,train,attack,1,18.218.115.60;18.216.200.189;52.14.136.135;18.219.9.1;18.219.32.43;18.219.5.43;18.218.11.51;18.216.24.42;18.218.229.235;18.218.55.126,10,18.218.115.60;18.216.200.189;52.14.136.135;18.219.9.1;18.219.32.43;18.219.5.43;18.218.11.51;18.216.24.42;18.218.229.235;18.218.55.126,10
attack_train_08,train,attack,2,,0,,0
attack_train_08,train,attack,3,,0,,0
attack_train_08,train,attack,4,,0,,0
attack_train_08,train,attack,5,,0,,0
attack_train_08,train,attack,6,,0,,0
attack_train_08,train,attack,7,18.218.11.51;18.219.5.43;18.219.9.1;18.216.200.189;18.219.32.43;18.216.24.42;18.218.55.126;52.14.136.135;18.218.115.60;18.218.229.235,10,18.218.11.51;18.219.5.43;18.219.9.1;18.216.200.189;18.219.32.43;18.216.24.42;18.218.55.126;52.14.136.135;18.218.115.60;18.218.229.235,10
attack_train_08,train,attack,8,,0,,0
attack_train_08,train,attack,9,,0,,0
attack_train_08,train,attack,10,,0,,0
attack_train_08,train,attack,11,,0,,0
attack_train_08,train,attack,12,,0,,0
attack_train_08,train,attack,13,,0,,0
attack_train_08,train,attack,14,,0,,0
attack_validation_01,validation,attack,0,,0,,0
attack_validation_01,validation,attack,1,18.216.200.189;18.216.24.42;18.219.5.43;52.14.136.135;18.218.55.126;18.218.11.51;18.219.32.43;18.219.9.1;18.218.229.235;18.218.115.60,10,18.216.200.189;18.216.24.42;18.219.5.43;52.14.136.135;18.218.55.126;18.218.11.51;18.219.32.43;18.219.9.1;18.218.229.235;18.218.115.60,10
attack_validation_01,validation,attack,2,,0,,0
attack_validation_01,validation,attack,3,,0,,0
attack_validation_01,validation,attack,4,,0,,0
attack_validation_01,validation,attack,5,,0,,0
attack_validation_01,validation,attack,6,,0,,0
attack_validation_01,validation,attack,7,,0,,0
attack_validation_01,validation,attack,8,,0,,0
attack_validation_01,validation,attack,9,,0,,0
attack_validation_01,validation,attack,10,,0,,0
attack_validation_01,validation,attack,11,18.218.229.235;18.219.32.43;18.216.200.189;18.219.5.43;18.218.55.126;52.14.136.135;18.218.115.60;18.216.24.42;18.218.11.51;18.219.9.1,10,18.218.229.235;18.219.32.43;18.216.200.189;18.219.5.43;18.218.55.126;52.14.136.135;18.218.115.60;18.216.24.42;18.218.11.51;18.219.9.1,10
attack_validation_01,validation,attack,12,,0,,0
attack_validation_01,validation,attack,13,,0,,0
attack_validation_01,validation,attack,14,,0,,0
attack_validation_02,validation,attack,0,,0,,0
attack_validation_02,validation,attack,1,,0,,0
attack_validation_02,validation,attack,2,18.219.5.43;18.219.32.43;18.219.9.1;18.218.55.126;18.218.229.235;52.14.136.135;18.218.115.60;18.218.11.51;18.216.24.42;18.216.200.189,10,18.219.5.43;18.219.32.43;18.219.9.1;18.218.55.126;18.218.229.235;52.14.136.135;18.218.115.60;18.218.11.51;18.216.24.42;18.216.200.189,10
attack_validation_02,validation,attack,3,,0,,0
attack_validation_02,validation,attack,4,,0,,0
attack_validation_02,validation,attack,5,,0,,0
attack_validation_02,validation,attack,6,,0,,0
attack_validation_02,validation,attack,7,,0,,0
attack_validation_02,validation,attack,8,,0,,0
attack_validation_02,validation,attack,9,18.218.229.235;18.218.11.51;18.216.200.189;18.219.9.1;52.14.136.135;18.218.55.126;18.219.5.43;18.219.32.43;18.216.24.42;18.218.115.60,10,18.218.229.235;18.218.11.51;18.216.200.189;18.219.9.1;52.14.136.135;18.218.55.126;18.219.5.43;18.219.32.43;18.216.24.42;18.218.115.60,10
attack_validation_02,validation,attack,10,18.218.55.126;18.218.115.60;18.219.32.43;18.219.9.1;18.216.200.189;18.218.11.51;18.218.229.235;18.219.5.43;52.14.136.135;18.216.24.42,10,18.218.55.126;18.218.115.60;18.219.32.43;18.219.9.1;18.216.200.189;18.218.11.51;18.218.229.235;18.219.5.43;52.14.136.135;18.216.24.42,10
attack_validation_02,validation,attack,11,,0,,0
attack_validation_02,validation,attack,12,,0,,0
attack_validation_02,validation,attack,13,,0,,0
attack_validation_02,validation,attack,14,,0,,0
normal_test_01,test,normal,0,,0,,0
normal_test_01,test,normal,1,,0,,0
normal_test_01,test,normal,2,,0,,0
