dataset,split,kind,window_id,predicted_malicious_ips,predicted_malicious_ip_count,true_malicious_ips,true_malicious_ip_count
attack_test_01,test,attack,0,59.166.0.0;59.166.0.5;59.166.0.4;59.166.0.7;59.166.0.2;59.166.0.8;59.166.0.1;59.166.0.3;59.166.0.6;10.40.85.1;149.171.126.4;149.171.126.6;192.168.241.243;10.40.182.6;10.40.85.10;149.171.126.2;149.171.126.7;149.171.126.8,18,,0
attack_test_01,test,attack,1,59.166.0.3;59.166.0.1;59.166.0.8;59.166.0.5;59.166.0.4;59.166.0.0;59.166.0.6;59.166.0.2;59.166.0.7;149.171.126.18;149.171.126.15;149.171.126.14;149.171.126.10;149.171.126.12;149.171.126.2;149.171.126.9;10.40.182.1;10.40.85.1;149.171.126.1;149.171.126.16;149.171.126.19;149.171.126.4;149.171.126.7;149.171.126.8,24,,0
attack_test_01,test,attack,2,59.166.0.0;59.166.0.1;59.166.0.9;59.166.0.2;59.166.0.3;59.166.0.5;59.166.0.6;59.166.0.4;59.166.0.7;59.166.0.8;18.218.229.235;18.216.200.189;52.14.136.135;18.216.24.42;149.171.126.18;149.171.126.10;149.171.126.14;149.171.126.12;149.171.126.15;149.171.126.5;149.171.126.1;10.40.85.1;10.40.85.10;149.171.126.0;149.171.126.2;149.171.126.3;149.171.126.4;149.171.126.6;149.171.126.7;149.171.126.8;149.171.126.9,31,18.219.32.43;18.218.115.60;18.218.229.235;18.218.11.51;18.219.5.43;18.219.9.1;18.216.200.189;52.14.136.135;18.218.55.126;18.216.24.42,10
attack_test_01,test,attack,3,59.166.0.8;59.166.0.4;59.166.0.2;59.166.0.0;59.166.0.9;59.166.0.3;59.166.0.5;59.166.0.1;59.166.0.6;59.166.0.7;149.171.126.18;149.171.126.10;149.171.126.12;149.171.126.14;149.171.126.15;149.171.126.6;10.40.182.1;10.40.85.1;149.171.126.4;149.171.126.7;149.171.126.9;10.40.85.10;149.171.126.0;149.171.126.3;192.168.241.243,25,,0
attack_test_01,test,attack,4,59.166.0.0;59.166.0.1;59.166.0.9;59.166.0.2;59.166.0.3;59.166.0.4;59.166.0.5;59.166.0.8;59.166.0.7;59.166.0.6;149.171.126.18;149.171.126.12;149.171.126.10;149.171.126.15;10.40.85.1;10.40.85.10;149.171.126.2;149.171.126.7;10.40.182.1;149.171.126.0;149.171.126.5;192.168.241.243,22,,0
attack_test_01,test,attack,5,59.166.0.1;59.166.0.4;59.166.0.0;59.166.0.6;59.166.0.9;59.166.0.8;149.171.126.18;149.171.126.14;149.171.126.12;149.171.126.10;149.171.126.15;149.171.126.7;149.171.126.0;149.171.126.1;149.171.126.8;10.40.182.1;10.40.85.1;10.40.85.10;149.171.126.2;149.171.126.3;149.171.126.4,21,,0
attack_test_01,test,attack,6,59.166.0.9;59.166.0.1;59.166.0.2;59.166.0.4;59.166.0.5;59.166.0.0;149.171.126.18;149.171.126.10;149.171.126.12;149.171.126.14;149.171.126.15;10.40.182.1;149.171.126.4;10.40.85.10;149.171.126.0;149.171.126.1;149.171.126.5;10.40.182.6;10.40.85.1;149.171.126.3;149.171.126.7;149.171.126.8,22,,0
attack_test_01,test,attack,7,59.166.0.5;59.166.0.2;59.166.0.0;59.166.0.1;59.166.0.4;59.166.0.3;59.166.0.9;59.166.0.8;59.166.0.7;59.166.0.6;149.171.126.18;149.171.126.10;149.171.126.12;149.171.126.14;149.171.126.15;149.171.126.5;10.40.85.10;149.171.126.4;10.40.182.1;10.40.85.1;149.171.126.17;149.171.126.2;149.171.126.8;149.171.126.9,24,,0
attack_test_01,test,attack,8,59.166.0.1;59.166.0.4;59.166.0.0;59.166.0.3;59.166.0.5;59.166.0.6;59.166.0.7;59.166.0.9;59.166.0.2;59.166.0.8;18.219.32.43;18.216.24.42;18.219.5.43;18.218.229.235;18.218.115.60;18.219.9.1;52.14.136.135;18.218.11.51;149.171.126.18;149.171.126.14;149.171.126.10;149.171.126.12;149.171.126.15;10.40.182.1;10.40.85.1;10.40.85.10;149.171.126.3;149.171.126.6;149.171.126.0;149.171.126.1,30,18.218.55.126;18.219.32.43;18.216.24.42;18.219.5.43;18.216.200.189;18.218.229.235;18.218.115.60;18.219.9.1;52.14.136.135;18.218.11.51,10
attack_test_01,test,attack,9,59.166.0.4;59.166.0.0;59.166.0.5;59.166.0.3;59.166.0.1;59.166.0.9;59.166.0.8;59.166.0.2;59.166.0.6;59.166.0.7;149.171.126.18;149.171.126.10;149.171.126.14;149.171.126.15;149.171.126.12;10.40.182.1;149.171.126.4;149.171.126.6;10.40.85.1,19,,0
attack_test_01,test,attack,10,59.166.0.2;59.166.0.0;59.166.0.1;59.166.0.5;59.166.0.3;59.166.0.4;59.166.0.9;59.166.0.8;59.166.0.6;149.171.126.18;149.171.126.15;149.171.126.14;149.171.126.12;149.171.126.10;149.171.126.3;10.40.182.1;149.171.126.2;149.171.126.4;149.171.126.8;149.171.126.9;10.40.85.1;149.171.126.5;149.171.126.6,23,,0
