dataset,split,kind,window_id,predicted_malicious_ips,predicted_malicious_ip_count,true_malicious_ips,true_malicious_ip_count
attack_test_01,test,attack,0,,0,,0
attack_test_01,test,attack,1,,0,,0
attack_test_01,test,attack,2,,0,18.219.32.43;18.218.115.60;18.218.229.235;18.218.11.51;18.219.5.43;18.219.9.1;18.216.200.189;52.14.136.135;18.218.55.126;18.216.24.42,10
attack_test_01,test,attack,3,,0,,0
attack_test_01,test,attack,4,149.171.126.15,1,,0
attack_test_01,test,attack,5,59.166.0.3,1,,0
attack_test_01,test,attack,6,,0,,0
attack_test_01,test,attack,7,,0,,0
attack_test_01,test,attack,8,,0,18.218.55.126;18.219.32.43;18.216.24.42;18.219.5.43;18.216.200.189;18.218.229.235;18.218.115.60;18.219.9.1;52.14.136.135;18.218.11.51,10
attack_test_01,test,attack,9,,0,,0
attack_test_01,test,attack,10,,0,,0
attack_test_01,test,attack,11,,0,18.219.9.1;18.216.24.42;18.218.11.51;18.216.200.189;52.14.136.135;18.219.5.43;18.218.55.126;18.218.115.60;18.219.32.43;18.218.229.235,10
attack_test_01,test,attack,12,59.166.0.9;59.166.0.7,2,,0
attack_test_01,test,attack,13,,0,,0
attack_test_01,test,attack,14,149.171.126.14,1,,0
attack_test_02,test,attack,0,,0,,0
attack_test_02,test,attack,1,,0,,0
attack_test_02,test,attack,2,149.171.126.2,1,18.219.5.43;18.216.24.42;18.218.11.51;18.218.229.235;18.219.32.43;18.218.55.126;18.216.200.189;18.219.9.1;52.14.136.135;18.218.115.60,10
attack_test_02,test,attack,3,,0,18.219.9.1;18.218.55.126;18.219.32.43;18.218.229.235;18.218.11.51;18.218.115.60;52.14.136.135;18.216.200.189;18.216.24.42;18.219.5.43,10
attack_test_02,test,attack,4,,0,,0
attack_test_02,test,attack,5,149.171.126.18,1,,0
attack_test_02,test,attack,6,59.166.0.2;10.40.182.1,2,,0
attack_test_02,test,attack,7,149.171.126.9,1,,0
attack_test_02,test,attack,8,,0,,0
attack_test_02,test,attack,9,,0,18.218.229.235;18.219.32.43;18.216.200.189;18.216.24.42;18.219.9.1;18.218.55.126;18.218.11.51;52.14.136.135;18.219.5.43;18.218.115.60,10
attack_test_02,test,attack,10,,0,18.216.24.42;18.219.5.43;18.218.229.235;18.216.200.189;18.219.9.1;18.218.55.126;18.219.32.43;52.14.136.135;18.218.115.60;18.218.11.51,10
attack_test_02,test,attack,11,59.166.0.6;59.166.0.3,2,,0
attack_test_02,test,attack,12,,0,,0
attack_test_02,test,attack,13,,0,,0
attack_test_02,test,attack,14,,0,18.218.229.235;52.14.136.135;18.219.5.43;18.219.32.43;18.218.55.126;18.219.9.1;18.216.24.42;18.216.200.189;18.218.11.51;18.218.115.60,10
attack_train_01,train,attack,0,,0,,0
attack_train_01,train,attack,1,,0,,0
attack_train_01,train,attack,2,18.218.11.51;149.171.126.0;149.171.126.8,3,18.218.115.60;18.216.24.42;18.218.229.235;18.216.200.189;18.219.9.1;18.218.11.51;18.218.55.126;52.14.136.135;18.219.32.43;18.219.5.43,10
attack_train_01,train,attack,3,,0,,0
attack_train_01,train,attack,4,149.171.126.9,1,,0
attack_train_01,train,attack,5,,0,,0
attack_train_01,train,attack,6,,0,18.218.229.235;52.14.136.135;18.219.32.43;18.219.9.1;18.218.11.51;18.218.115.60;18.216.200.189;18.219.5.43;18.218.55.126;18.216.24.42,10
attack_train_01,train,attack,7,,0,,0
attack_train_01,train,attack,8,,0,,0
attack_train_01,train,attack,9,59.166.0.5;10.40.182.1,2,,0
attack_train_01,train,attack,10,,0,,0
attack_train_01,train,attack,11,,0,,0
attack_train_01,train,attack,12,,0,18.216.24.42;18.218.115.60;18.218.229.235;18.216.200.189;18.219.5.43;18.219.9.1;18.219.32.43;18.218.55.126;52.14.136.135;18.218.11.51,10
attack_train_01,train,attack,13,,0,,0
attack_train_01,train,attack,14,,0,,0
attack_train_02,train,attack,0,,0,,0
attack_train_02,train,attack,1,,0,,0
attack_train_02,train,attack,2,,0,,0
attack_train_02,train,attack,3,,0,18.219.5.43;18.219.32.43;18.216.200.189;18.219.9.1;18.218.115.60;52.14.136.135;18.218.229.235;18.218.55.126;18.218.11.51;18.216.24.42,10
attack_train_02,train,attack,4,59.166.0.7;149.171.126.4,2,18.218.115.60;18.216.200.189;18.218.229.235;18.219.32.43,4
attack_train_02,train,attack,5,,0,18.219.5.43;18.216.24.42;18.216.200.189;18.218.55.126;18.219.32.43;52.14.136.135;18.218.11.51;18.218.229.235;18.218.115.60;18.219.9.1,10
attack_train_02,train,attack,6,,0,,0
attack_train_02,train,attack,7,,0,,0
attack_train_02,train,attack,8,,0,,0
attack_train_02,train,attack,9,,0,18.216.24.42;18.219.9.1;52.14.136.135;18.219.32.43;18.218.11.51;18.218.55.126;18.219.5.43;18.216.200.189;18.218.229.235;18.218.115.60,10
attack_train_02,train,attack,10,149.171.126.2,1,,0
attack_train_02,train,attack,11,,0,,0
attack_train_02,train,attack,12,,0,,0
attack_train_02,train,attack,13,149.171.126.18;149.171.126.15,2,,0
attack_train_02,train,attack,14,,0,,0
attack_train_03,train,attack,0,,0,18.216.24.42;18.218.11.51;18.216.200.189;18.219.9.1;18.218.115.60;18.219.5.43;18.218.55.126;18.219.32.43;52.14.136.135;18.218.229.235,10
attack_train_03,train,attack,1,149.171.126.16,1,18.219.32.43;18.218.229.235;18.216.24.42;18.218.55.126;18.218.11.51;18.219.5.43;18.219.9.1;52.14.136.135;18.218.115.60;18.216.200.189,10
attack_train_03,train,attack,2,,0,,0
attack_train_03,train,attack,3,59.166.0.2;59.166.0.6;149.171.126.1,3,52.14.136.135;18.216.200.189;18.216.24.42;18.218.11.51;18.218.229.235;18.219.32.43;18.219.9.1;18.218.115.60;18.218.55.126;18.219.5.43,10
attack_train_03,train,attack,4,10.40.85.10,1,,0
attack_train_03,train,attack,5,149.171.126.8,1,,0
attack_train_03,train,attack,6,,0,,0
attack_train_03,train,attack,7,,0,,0
attack_train_03,train,attack,8,149.171.126.19,1,,0
attack_train_03,train,attack,9,59.166.0.4;59.166.0.6,2,18.216.24.42;18.216.200.189;18.219.32.43;18.218.55.126;52.14.136.135;18.218.11.51;18.219.9.1;18.218.115.60;18.219.5.43;18.218.229.235,10
attack_train_03,train,attack,10,,0,,0
attack_train_03,train,attack,11,,0,,0
attack_train_03,train,attack,12,,0,,0
attack_train_03,train,attack,13,,0,,0
attack_train_03,train,attack,14,59.166.0.4,1,,0
attack_train_04,train,attack,0,,0,,0
attack_train_04,train,attack,1,,0,18.218.229.235;18.218.55.126;18.218.115.60;18.219.32.43;52.14.136.135;18.218.11.51;18.216.200.189;18.216.24.42;18.219.5.43;18.219.9.1,10
attack_train_04,train,attack,2,52.14.136.135;18.219.5.43,2,18.216.200.189;52.14.136.135;18.219.5.43;18.218.55.126;18.219.9.1;18.218.229.235;18.216.24.42;18.218.11.51;18.219.32.43;18.218.115.60,10
attack_train_04,train,attack,3,,0,,0
attack_train_04,train,attack,4,,0,,0
attack_train_04,train,attack,5,,0,,0
attack_train_04,train,attack,6,149.171.126.6,1,18.216.24.42;18.218.229.235;18.219.32.43;18.216.200.189;18.218.55.126;18.219.9.1,6
attack_train_04,train,attack,7,,0,18.216.24.42;18.219.9.1;18.218.229.235;18.219.32.43;18.219.5.43;18.218.115.60;18.218.55.126;18.216.200.189;52.14.136.135;18.218.11.51,10
attack_train_04,train,attack,8,149.171.126.0;149.171.126.17,2,18.218.55.126;18.218.229.235;18.219.9.1;18.216.24.42;18.216.200.189;18.218.11.51;18.218.115.60;18.219.5.43;52.14.136.135;18.219.32.43,10
attack_train_04,train,attack,9,,0,,0
attack_train_04,train,attack,10,,0,,0
attack_train_04,train,attack,11,,0,,0
attack_train_04,train,attack,12,,0,18.216.24.42;18.219.32.43;18.219.5.43;18.216.200.189;18.218.55.126;52.14.136.135;18.218.229.235;18.219.9.1;18.218.115.60;18.218.11.51,10
attack_train_04,train,attack,13,,0,,0
attack_train_04,train,attack,14,149.171.126.4,1,,0
attack_train_05,train,attack,0,,0,,0
attack_train_05,train,attack,1,,0,,0
attack_train_05,train,attack,2,10.40.182.1,1,,0
attack_train_05,train,attack,3,,0,,0
attack_train_05,train,attack,4,59.166.0.2;149.171.126.4,2,,0
attack_train_05,train,attack,5,,0,,0
attack_train_05,train,attack,6,59.166.0.7,1,18.218.115.60;18.219.9.1;18.219.32.43;18.216.24.42;18.218.229.235;18.218.11.51;18.219.5.43;18.218.55.126;52.14.136.135;18.216.200.189,10
attack_train_05,train,attack,7,,0,,0
attack_train_05,train,attack,8,,0,18.218.55.126;18.218.11.51;18.216.24.42;18.218.229.235;52.14.136.135;18.218.115.60;18.219.9.1;18.219.32.43;18.219.5.43;18.216.200.189,10
attack_train_05,train,attack,9,149.171.126.18;149.171.126.14,2,,0
attack_train_05,train,attack,10,,0,,0
attack_train_05,train,attack,11,,0,,0
attack_train_05,train,attack,12,10.40.182.1,1,,0
attack_train_05,train,attack,13,149.171.126.7,1,,0
attack_train_05,train,attack,14,149.171.126.16;149.171.126.8,2,,0
attack_train_06,train,attack,0,,0,,0
attack_train_06,train,attack,1,,0,18.216.200.189;18.218.115.60;18.218.55.126;18.219.5.43;52.14.136.135;18.216.24.42;18.219.32.43;18.218.11.51;18.219.9.1;18.218.229.235,10
attack_train_06,train,attack,2,149.171.126.0;149.171.126.5,2,,0
attack_train_06,train,attack,3,,0,,0
attack_train_06,train,attack,4,,0,,0
attack_train_06,train,attack,5,,0,,0
attack_train_06,train,attack,6,,0,,0
attack_train_06,train,attack,7,,0,,0
attack_train_06,train,attack,8,,0,,0
attack_train_06,train,attack,9,10.40.182.1,1,,0
attack_train_06,train,attack,10,149.171.126.14;149.171.126.10,2,,0
attack_train_06,train,attack,11,,0,,0
attack_train_06,train,attack,12,,0,,0
attack_train_06,train,attack,13,149.171.126.6,1,18.219.9.1;18.219.32.43;18.218.11.51;18.218.55.126;18.219.5.43;18.216.200.189;18.216.24.42;52.14.136.135;18.218.115.60;18.218.229.235,10
attack_train_06,train,attack,14,,0,18.218.55.126;18.216.24.42;18.219.32.43;18.219.5.43;18.218.115.60;18.218.229.235;18.219.9.1;52.14.136.135;18.218.11.51;18.216.200.189,10
attack_train_07,train,attack,0,149.171.126.9,1,,0
attack_train_07,train,attack,1,59.166.0.9,1,,0
attack_train_07,train,attack,2,,0,,0
attack_train_07,train,attack,3,,0,,0
attack_train_07,train,attack,4,,0,,0
attack_train_07,train,attack,5,149.171.126.6,1,,0
attack_train_07,train,attack,6,,0,,0
attack_train_07,train,attack,7,,0,18.218.229.235;18.218.55.126;18.219.5.43;18.219.9.1;18.218.11.51;18.219.32.43;18.216.24.42;18.218.115.60;52.14.136.135;18.216.200.189,10
attack_train_07,train,attack,8,,0,18.219.9.1;18.218.11.51;18.219.5.43;18.216.200.189;18.219.32.43;18.218.115.60;18.218.229.235;18.218.55.126;52.14.136.135;18.216.24.42,10
attack_train_07,train,attack,9,,0,,0
attack_train_07,train,attack,10,59.166.0.4,1,18.219.5.43;18.218.229.235,2
attack_train_07,train,attack,11,,0,52.14.136.135;18.218.229.235;18.216.200.189;18.219.5.43;18.218.11.51;18.218.55.126;18.218.115.60;18.219.9.1;18.219.32.43;18.216.24.42,10
attack_train_07,train,attack,12,59.166.0.9;149.171.126.18,2,18.216.200.189;18.219.9.1;18.218.55.126;18.218.229.235;18.219.32.43;18.219.5.43;52.14.136.135;18.216.24.42;18.218.115.60;18.218.11.51,10
attack_train_07,train,attack,13,149.171.126.4;149.171.126.9,2,,0
attack_train_07,train,attack,14,,0,,0
attack_train_08,train,attack,0,,0,,0
attack_train_08,train,attack,1,,0,18.218.115.60;18.216.200.189;52.14.136.135;18.219.9.1;18.219.32.43;18.219.5.43;18.218.11.51;18.216.24.42;18.218.229.235;18.218.55.126,10
attack_train_08,train,attack,2,59.166.0.8,1,,0
attack_train_08,train,attack,3,149.171.126.10,1,,0
attack_train_08,train,attack,4,,0,,0
attack_train_08,train,attack,5,,0,,0
attack_train_08,train,attack,6,59.166.0.1;59.166.0.7,2,,0
attack_train_08,train,attack,7,,0,18.218.11.51;18.219.5.43;18.219.9.1;18.216.200.189;18.219.32.43;18.216.24.42;18.218.55.126;52.14.136.135;18.218.115.60;18.218.229.235,10
attack_train_08,train,attack,8,,0,,0
attack_train_08,train,attack,9,,0,,0
attack_train_08,train,attack,10,,0,,0
attack_train_08,train,attack,11,59.166.0.8;149.171.126.18,2,,0
attack_train_08,train,attack,12,,0,,0
attack_train_08,train,attack,13,,0,,0
attack_train_08,train,attack,14,,0,,0
attack_validation_01,validation,attack,0,,0,,0
attack_validation_01,validation,attack,1,,0,18.216.200.189;18.216.24.42;18.219.5.43;52.14.136.135;18.218.55.126;18.218.11.51;18.219.32.43;18.219.9.1;18.218.229.235;18.218.115.60,10
attack_validation_01,validation,attack,2,59.166.0.6,1,,0
attack_validation_01,validation,attack,3,,0,,0
attack_validation_01,validation,attack,4,,0,,0
attack_validation_01,validation,attack,5,149.171.126.15;149.171.126.12;149.171.126.0;149.171.126.5,4,,0
attack_validation_01,validation,attack,6,,0,,0
attack_validation_01,validation,attack,7,,0,,0
attack_validation_01,validation,attack,8,10.40.85.1,1,,0
attack_validation_01,validation,attack,9,,0,,0
attack_validation_01,validation,attack,10,149.171.126.16;149.171.126.17,2,,0
attack_validation_01,validation,attack,11,,0,18.218.229.235;18.219.32.43;18.216.200.189;18.219.5.43;18.218.55.126;52.14.136.135;18.218.115.60;18.216.24.42;18.218.11.51;18.219.9.1,10
attack_validation_01,validation,attack,12,59.166.0.4;149.171.126.10;149.171.126.9,3,,0
attack_validation_01,validation,attack,13,,0,,0
attack_validation_01,validation,attack,14,10.40.182.1,1,,0
attack_validation_02,validation,attack,0,,0,,0
attack_validation_02,validation,attack,1,,0,,0
attack_validation_02,validation,attack,2,149.171.126.2,1,18.219.5.43;18.219.32.43;18.219.9.1;18.218.55.126;18.218.229.235;52.14.136.135;18.218.115.60;18.218.11.51;18.216.24.42;18.216.200.189,10
attack_validation_02,validation,attack,3,10.40.85.1,1,,0
attack_validation_02,validation,attack,4,,0,,0
attack_validation_02,validation,attack,5,,0,,0
attack_validation_02,validation,attack,6,59.166.0.7;59.166.0.9;59.166.0.8;149.171.126.18,4,,0
attack_validation_02,validation,attack,7,,0,,0
attack_validation_02,validation,attack,8,59.166.0.3;59.166.0.0,2,,0
attack_validation_02,validation,attack,9,,0,18.218.229.235;18.218.11.51;18.216.200.189;18.219.9.1;52.14.136.135;18.218.55.126;18.219.5.43;18.219.32.43;18.216.24.42;18.218.115.60,10
attack_validation_02,validation,attack,10,,0,18.218.55.126;18.218.115.60;18.219.32.43;18.219.9.1;18.216.200.189;18.218.11.51;18.218.229.235;18.219.5.43;52.14.136.135;18.216.24.42,10
attack_validation_02,validation,attack,11,,0,,0
attack_validation_02,validation,attack,12,,0,,0
attack_validation_02,validation,attack,13,,0,,0
attack_validation_02,validation,attack,14,,0,,0
normal_test_01,test,normal,0,149.171.126.5,1,,0
normal_test_01,test,normal,1,,0,,0
normal_test_01,test,normal,2,149.171.126.18,1,,0
normal_test_01,test,normal,3,,0,,0
normal_test_01,test,normal,4,149.171.126.3;10.40.85.1,2,,0
normal_test_01,test,normal,5,,0,,0
normal_test_01,test,normal,6,,0,,0
normal_test_01,test,normal,7,59.166.0.2;59.166.0.1;149.171.126.4,3,,0
normal_test_01,test,normal,8,,0,,0
normal_test_01,test,normal,9,,0,,0
normal_test_01,test,normal,10,192.168.241.243,1,,0
normal_test_01,test,normal,11,59.166.0.6,1,,0
normal_test_01,test,normal,12,,0,,0
normal_test_01,test,normal,13,,0,,0
normal_test_01,test,normal,14,,0,,0
normal_test_02,test,normal,0,149.171.126.18;149.171.126.14,2,,0
normal_test_02,test,normal,1,,0,,0
normal_test_02,test,normal,2,,0,,0
normal_test_02,test,normal,3,,0,,0
normal_test_02,test,normal,4,,0,,0
normal_test_02,test,normal,5,59.166.0.4,1,,0
normal_test_02,test,normal,6,149.171.126.4,1,,0
normal_test_02,test,normal,7,,0,,0
normal_test_02,test,normal,8,,0,,0
normal_test_02,test,normal,9,,0,,0
normal_test_02,test,normal,10,10.40.182.1,1,,0
normal_test_02,test,normal,11,,0,,0
normal_test_02,test,normal,12,,0,,0
normal_test_02,test,normal,13,,0,,0
normal_test_02,test,normal,14,,0,,0
normal_train_01,train,normal,0,,0,,0
normal_train_01,train,normal,1,,0,,0
normal_train_01,train,normal,2,,0,,0
normal_train_01,train,normal,3,,0,,0
normal_train_01,train,normal,4,59.166.0.7,1,,0
normal_train_01,train,normal,5,,0,,0
normal_train_01,train,normal,6,,0,,0
normal_train_01,train,normal,7,,0,,0
normal_train_01,train,normal,8,,0,,0
normal_train_01,train,normal,9,59.166.0.1;59.166.0.5,2,,0
normal_train_01,train,normal,10,59.166.0.2;59.166.0.7;59.166.0.5;59.166.0.9,4,,0
normal_train_01,train,normal,11,,0,,0
normal_train_01,train,normal,12,,0,,0
normal_train_01,train,normal,13,10.40.182.6,1,,0
normal_train_01,train,normal,14,10.40.182.6,1,,0
normal_train_02,train,normal,0,149.171.126.9,1,,0
normal_train_02,train,normal,1,,0,,0
normal_train_02,train,normal,2,,0,,0
normal_train_02,train,normal,3,,0,,0
normal_train_02,train,normal,4,149.171.126.1,1,,0
normal_train_02,train,normal,5,,0,,0
normal_train_02,train,normal,6,,0,,0
normal_train_02,train,normal,7,,0,,0
normal_train_02,train,normal,8,,0,,0
normal_train_02,train,normal,9,,0,,0
normal_train_02,train,normal,10,149.171.126.7,1,,0
normal_train_02,train,normal,11,10.40.182.6,1,,0
normal_train_02,train,normal,12,,0,,0
normal_train_02,train,normal,13,,0,,0
normal_train_02,train,normal,14,,0,,0
normal_train_03,train,normal,0,59.166.0.2,1,,0
normal_train_03,train,normal,1,10.40.85.1,1,,0
normal_train_03,train,normal,2,59.166.0.5,1,,0
normal_train_03,train,normal,3,,0,,0
normal_train_03,train,normal,4,,0,,0
normal_train_03,train,normal,5,149.171.126.6,1,,0
normal_train_03,train,normal,6,,0,,0
normal_train_03,train,normal,7,149.171.126.8,1,,0
normal_train_03,train,normal,8,,0,,0
normal_train_03,train,normal,9,,0,,0
normal_train_03,train,normal,10,,0,,0
normal_train_03,train,normal,11,,0,,0
normal_train_03,train,normal,12,,0,,0
normal_train_03,train,normal,13,,0,,0
normal_train_03,train,normal,14,10.40.182.1,1,,0
normal_train_04,train,normal,0,,0,,0
normal_train_04,train,normal,1,,0,,0
normal_train_04,train,normal,2,149.171.126.15,1,,0
normal_train_04,train,normal,3,,0,,0
normal_train_04,train,normal,4,,0,,0
normal_train_04,train,normal,5,,0,,0
normal_train_04,train,normal,6,,0,,0
normal_train_04,train,normal,7,,0,,0
normal_train_04,train,normal,8,,0,,0
normal_train_04,train,normal,9,,0,,0
normal_train_04,train,normal,10,,0,,0
normal_train_04,train,normal,11,149.171.126.18,1,,0
normal_train_04,train,normal,12,149.171.126.19,1,,0
normal_train_04,train,normal,13,,0,,0
normal_train_04,train,normal,14,10.40.85.10,1,,0
normal_train_05,train,normal,0,,0,,0
normal_train_05,train,normal,1,59.166.0.9,1,,0
normal_train_05,train,normal,2,,0,,0
normal_train_05,train,normal,3,59.166.0.4;10.40.182.1,2,,0
normal_train_05,train,normal,4,10.40.182.6,1,,0
normal_train_05,train,normal,5,,0,,0
normal_train_05,train,normal,6,59.166.0.5;59.166.0.4;59.166.0.9,3,,0
normal_train_05,train,normal,7,,0,,0
normal_train_05,train,normal,8,59.166.0.3;59.166.0.8;59.166.0.7,3,,0
normal_train_05,train,normal,9,,0,,0
normal_train_05,train,normal,10,,0,,0
normal_train_05,train,normal,11,,0,,0
normal_train_05,train,normal,12,,0,,0
normal_train_05,train,normal,13,,0,,0
normal_train_05,train,normal,14,,0,,0
normal_train_06,train,normal,0,59.166.0.8;149.171.126.12;149.171.126.14;149.171.126.15,4,,0
normal_train_06,train,normal,1,,0,,0
