window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip,dst_concentration,mean_duration,mean_total_bytes,mean_pkts_per_sec,mean_outbound_ratio,mean_pkt_size,z_qubit_0,z_qubit_1,z_qubit_2,z_qubit_3,z_qubit_4,z_qubit_5,z_qubit_6,z_qubit_7,z_qubit_8,z_qubit_9,s_rho,trace_distance,s_entanglement
0,35,3.5133372356035686,26,3.4806818280919023,0.1038103810381038,0.2424446212703164,8.508500175875799,6.82746524675504,0.6370785481548156,5.051552590627862,-0.10393306608843116,0.009064258143605475,-0.04496374907211308,0.08761240582107609,0.0059663483508445945,-0.0003610443693775325,-0.08954637876504981,-0.03436656058363609,0.07994078574619588,-0.1381311907021099,3.5133372356541512,0.02470171260685495,3.5723226915323663
1,36,3.922604611675309,22,3.616685642852188,0.0976597659765976,0.2698035129013902,8.361420471568517,6.699898546029716,0.6475518781878188,5.040179266490834,-0.10632970677014243,-0.008486943310647192,-0.04633897660921109,0.07630463408510502,0.012803052713541466,0.00862200210409163,-0.08468119528501472,-0.05257669987148761,0.07136969164063267,-0.12101941901443988,3.922604611727324,0.11322929851403749,3.793503520124569
2,23,3.4279609316293365,22,3.4220192898168387,0.105010501050105,0.2260849540066056,8.494278990746448,6.888963399280846,0.6347464717971798,5.049753481767549,-0.11291643578006494,0.010562701592112771,-0.03618339031268155,0.12163299292424506,0.0027322429311491796,-0.024831210808683328,-0.066357717739649,-0.024720231677597196,0.07688801394296481,-0.13738514863728782,3.4279609316626107,0.016105903580176436,3.520621101586271
3,37,3.811391043750525,27,3.622669790580776,0.0963096309630963,0.2687651773064327,8.389588890535553,6.727470264178288,0.6438410573057305,5.031757565044639,-0.10298534023234897,0.003538484770095097,-0.044380814331343506,0.08978965255996257,0.011388531582029654,-0.007675214013631762,-0.08768971229401529,-0.055047386695979104,0.07630124397265078,-0.13136374050693647,3.811391043803986,0.07382571765265622,3.7134344327966944
4,24,3.4362184624556136,23,3.4279258069199465,0.1048604860486048,0.2273696872240462,8.454915413423453,6.89982474040941,0.634442408490849,5.032251990085995,-0.11367087076234102,0.011517885819378555,-0.03949392291646866,0.11989307036986221,0.005696341235988877,-0.010308344101273733,-0.0711637317524879,-0.025792086819735514,0.07223208419860307,-0.1346063825392338,3.436218462490328,0.017818566982526342,3.5248503691603554
5,24,3.4260688457109394,21,3.4172751638967216,0.1089108910891089,0.2430279796585427,8.535877064618742,6.8174422895910585,0.6370427202220221,5.05155621029819,-0.1075944326782145,0.013076742846701185,-0.04379749265221088,0.12269205502972512,-0.0006310259507656766,-0.025141983810085554,-0.06567685342232361,-0.027351201045298895,0.0783782051119078,-0.1421015174166588,3.426068845745658,0.014046857801422676,3.5107969192597266
6,26,3.4317761803744213,19,3.421374688196178,0.1033603360336033,0.2339642485384678,8.485848217321653,6.831663035628952,0.6370107290729072,5.04175169260807,-0.10739418203855473,0.009712094424419244,-0.0451876905442722,0.10925178626946137,0.005986297700992254,-0.018880531520762127,-0.07288366544801858,-0.029206891821739613,0.07777851996956209,-0.14617753666519911,3.4317761804120246,0.009845858387520893,3.515311582796973
7,24,3.4390965067700074,22,3.430282589211378,0.1044104410441044,0.2411376389835904,8.521380031721558,6.8503641388353484,0.6383797679267926,5.0448878731632165,-0.10583688397418035,0.01011083897395951,-0.04533523542603453,0.12203777077589162,-0.00036033608547346354,-0.022158071201653036,-0.06597807636881058,-0.02487600348507344,0.07600651187963335,-0.1438619823582776,3.4390965068047215,0.013506755109308283,3.5239421366480874
8,27,3.4260123577417154,20,3.4145479533533623,0.1042604260426042,0.2359154526577719,8.548476007296495,6.865297508031282,0.642365403840384,5.056192586277231,-0.10404103248243719,0.011163378104752113,-0.05021482470351321,0.1088314621471223,0.008186132509248293,-0.02310738091460684,-0.07493829278454715,-0.02838680443399409,0.07761839552907521,-0.14703164217908446,3.426012357780757,0.01572775574442242,3.520145627616791
9,35,4.062656536026605,24,3.6288843435800313,0.1303630363036303,0.3019429320667842,8.316863172297749,6.602526568338514,0.6527137215721572,5.06257522837975,-0.09415803714244998,-0.010879302041485852,-0.06120649568395501,0.08622250032035013,0.014533377438689746,0.01846681766148696,-0.08287384190689115,-0.056766382750049575,0.06801968390730427,-0.12537206420310626,4.062656536077117,0.16943720772616908,3.8710096968956584
10,23,3.4214805861627706,24,3.4191717693991164,0.1084608460846084,0.2322158487853004,8.492742450861837,6.886659202533243,0.635857010351035,5.033554033470281,-0.10588149893113002,0.0196373241931073,-0.03885241043086073,0.1238039432747867,-0.020115756136548146,-0.024078202958858062,-0.06405111577809167,-0.020296945183729445,0.07332576949354638,-0.14014717325796033,3.421480586196045,0.022741301616684965,3.5398322704165146
11,24,3.4197778155687053,21,3.410645028878628,0.1078607860786078,0.2413053910731527,8.53820885968314,6.846606056209683,0.6424326765676568,5.056354971918301,-0.11299524909029628,0.010116119401829517,-0.037847886720474885,0.12213936822270635,-0.0016637554123868324,-0.02120340487219526,-0.06561364051447423,-0.02956319838628866,0.07629775065241401,-0.1378313405101286,3.4197778156034198,0.016713595041353824,3.5105224622825286
12,26,3.4330336458907054,24,3.424223860807586,0.1027602760276027,0.2364687428162928,8.517688787201278,6.836339330070139,0.6325557199219921,5.049037455097792,-0.10506984449953154,0.014673097719204511,-0.04836373274262419,0.11876423290608805,-0.0023034308551354975,-0.014811475217625074,-0.07181918163209951,-0.03082991455151539,0.07541020057188187,-0.14096087421608317,3.433033645928308,0.01682306524541453,3.525059149542039
13,27,3.433282546196593,23,3.4273766993705004,0.106060606060606,0.2384963282186561,8.5150735276189,6.872803434415608,0.6321578414341433,5.0437942148987736,-0.10798765876172743,0.014548088689775987,-0.04259942516596356,0.1107749863308356,0.0006338506443149738,-0.01582934303186964,-0.07806246805957893,-0.030154325860718083,0.07441831889869338,-0.13923335830375713,3.4332825462356342,0.017352884179974326,3.533317188546166
14,22,3.418426021322773,19,3.412543801118171,0.1021569802276812,0.2399666306272074,8.536187113328799,6.859954665737518,0.6460950452366687,5.044170788171934,-0.11061027421636656,0.010454842838800656,-0.04089152398841573,0.12681950108458268,-0.0028589058308655397,-0.012290137539826653,-0.06051988319758526,-0.01798848955023756,0.07022120051686889,-0.13323372662604668,3.418426021354603,0.009201762746680511,3.5165368243493775
