src_ip,dst_ip,src_port,dst_port,protocol,outbound_byte_ratio,duration,packets_per_second,bytes_per_second,inter_packet_arrival_mean,inter_packet_arrival_std,total_packets,total_bytes,packet_size_avg,packet_size_std,Label,Attack,scenario,split,dataset_id,row_in_window,is_seeded_ddos,burst_id,burst_phase,source_dataset
59.166.0.9,149.171.126.3,22183,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,attack,train,4,0,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.2,46637,47483,TCP,0.391658,0.392,147.959184,20061.22449,13.517241,20.006242,58,7864,135.586207,141.688946,0,Benign,attack,train,4,1,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.9,46423,21,TCP,0.955446,0.001,4000.0,202000.0,0.0,0.0,4,202,50.5,0.0,0,Benign,attack,train,4,2,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.6,41153,39153,TCP,0.936214,0.067,2000.0,918656.716418,0.0,1.0,134,61550,459.328358,558.985841,0,Benign,attack,train,4,3,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.9,16189,80,TCP,0.857914,1.191,26.868178,9951.301427,81.375,251.552896,32,11852,370.375,457.924048,0,Benign,attack,train,4,4,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.2,27256,52579,TCP,0.943541,0.62,35.483871,15083.870968,62.545455,186.560672,22,9352,425.090909,536.660935,0,Benign,attack,train,4,5,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.6,25386,5190,TCP,0.551074,0.054,962.962963,84481.481481,1.538462,7.017729,52,4562,87.730769,85.270194,0,Benign,attack,train,4,6,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.7,53858,25,TCP,0.082969,0.035,2685.714286,1163942.857143,0.0,0.743768,94,40738,433.382979,522.155787,0,Benign,attack,train,4,7,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.6,21156,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,attack,train,4,8,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.1,7999,21,TCP,0.583,0.588,81.632653,5102.040816,48.4375,109.458022,48,3000,62.5,0.0,0,Benign,attack,train,4,9,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.7,51167,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,attack,train,4,10,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.4,6517,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,attack,train,4,11,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.5,31473,29798,TCP,0.386546,0.515,112.621359,15471.84466,17.517241,34.524475,58,7968,137.37931,223.973998,0,Benign,attack,train,4,12,0,,,NF-UNSW-NB15-v3-Benign
