src_ip,dst_ip,src_port,dst_port,protocol,outbound_byte_ratio,duration,packets_per_second,bytes_per_second,inter_packet_arrival_mean,inter_packet_arrival_std,total_packets,total_bytes,packet_size_avg,packet_size_std,Label,Attack,scenario,split,dataset_id,row_in_window,is_seeded_ddos,burst_id,burst_phase,source_dataset
59.166.0.6,149.171.126.0,61073,59165,TCP,0.92681,0.062,1967.741935,792903.225806,0.0,1.0,122,49160,402.95082,530.058081,0,Benign,normal,train,8,0,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.1,28148,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,normal,train,8,1,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.9,26473,6881,TCP,0.976046,1.205,557.676349,466116.182573,3.303571,9.118603,672,561670,835.818452,583.449959,0,Benign,normal,train,8,2,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.2,62481,80,TCP,0.857914,1.009,31.714569,11746.283449,69.125,253.063079,32,11852,370.375,457.924048,0,Benign,normal,train,8,3,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.8,56602,21,TCP,0.642466,0.002,6000.0,365000.0,0.0,0.0,12,730,60.833333,0.0,0,Benign,normal,train,8,4,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.9,43633,5190,TCP,0.691913,0.008,5750.0,779000.0,0.0,0.0,46,6232,135.478261,256.126999,0,Benign,normal,train,8,5,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.5,55169,24499,TCP,0.874678,0.012,6166.666667,1552000.0,0.0,0.0,74,18624,251.675676,411.800373,0,Benign,normal,train,8,6,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.9,41727,143,TCP,0.668054,1.337,185.489903,17606.5819,10.0,17.0,248,23540,94.919355,135.113203,0,Benign,normal,train,8,7,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.4,21031,21374,TCP,0.945578,0.073,2657.534247,1380876.712329,0.0,1.0,194,100804,519.608247,568.27162,0,Benign,normal,train,8,8,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.5,29169,54740,TCP,0.887546,0.01,7800.0,2168000.0,0.0,0.0,78,21680,277.948718,441.260014,0,Benign,normal,train,8,9,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.6,55180,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,normal,train,8,10,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.0,65178,19300,TCP,0.902875,0.128,687.5,221203.125,2.0,4.527693,88,28314,321.75,486.059737,0,Benign,normal,train,8,11,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.3,29527,53,UDP,0.554795,0.001,4000.0,292000.0,0.0,0.0,4,292,73.0,0.0,0,Benign,normal,train,8,12,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.4,53532,22,TCP,0.56678,0.952,231.092437,22792.016807,8.0,14.526778,220,21698,98.627273,121.460729,0,Benign,normal,train,8,13,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.1,9435,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,normal,train,8,14,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.3,36432,21,TCP,0.575752,1.703,51.673517,3298.297123,35.488636,82.549227,88,5617,63.829545,0.0,0,Benign,normal,train,8,15,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.3,14846,21,TCP,0.583417,0.16,300.0,18768.75,5.0,12.996794,48,3003,62.5625,0.0,0,Benign,normal,train,8,16,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.6,53718,51865,TCP,0.852572,0.052,1346.153846,290884.615385,1.0,3.0,70,15126,216.085714,383.380346,0,Benign,normal,train,8,17,0,,,NF-UNSW-NB15-v3-Benign
10.40.182.1,224.0.0.5,0,0,89,0.0,120.01,0.108324,6.932756,0.0,0.0,13,832,64.0,0.0,0,Benign,normal,train,8,18,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.7,41087,111,UDP,0.354545,0.232,34.482759,3793.103448,53.5,82.427241,8,880,110.0,64.0,0,Benign,normal,train,8,19,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.3,59192,80,TCP,0.865509,1.04,28.846154,11296.153846,80.8,266.910772,30,11748,391.6,466.754754,0,Benign,normal,train,8,20,0,,,NF-UNSW-NB15-v3-Benign
